postal_code,stars,review_count
28134,3.5806451612903225,5305
28164,3.7222222222222223,145
28173,3.8333333333333335,1952
28201,3.9166666666666665,68
28202,3.625179856115108,32401
28203,3.9131832797427655,26732
28204,3.837313432835821,14153
28205,3.8833049403747872,22484
28206,3.5384615384615383,3077
28207,3.822314049586777,2945
28208,3.185878962536023,10624
28209,3.763392857142857,13473
28210,3.607250755287009,8848
28211,3.6069651741293534,11412
28212,3.1904761904761907,1652
28213,3.299163179916318,3718
28214,3.2323232323232323,2013
28215,3.442105263157895,1276
28216,3.3327464788732395,4411
28217,3.419491525423729,10984
28219,3.25,84
28220,3.8333333333333335,60
28222,5.0,7
28223,4.5,35
28224,4.0,10
28226,3.5226537216828477,6489
28227,3.4518900343642613,4109
28228,2.5,9
28231,4.5,8
28233,4.0,6
28234,3.0,9
28244,3.111111111111111,534
28246,3.1666666666666665,96
28247,2.75,7
28251,1.0,3
28253,2.5,3
28255,3.0,15
28256,2.75,6
28262,3.3369565217391304,11203
28263,3.402439024390244,1211
28266,3.75,142
28269,3.360230547550432,4863
28270,3.7,2645
28271,4.25,40
28273,3.4672131147540983,10847
28274,4.0,9
28277,3.633640552995392,22703
28278,3.533707865168539,1140
28280,3.7,479
28281,3.6666666666666665,40
28282,3.6,100
28284,4.25,239
28285,3.9166666666666665,76
28288,3.3333333333333335,44
28297,5.0,9
28299,4.5,44
28451,3.5,3
28501,5.0,3
28625,5.0,3
28658,5.0,3
28720,4.5,32
28730,4.15,315
28802,4.5,33
28803,5.0,3
29031,4.0,41
29203,4.5,18
29204,2.25,136
29707,3.5036496350364965,1890
29708,3.6270358306188926,5139
29710,3.7875,701
29715,3.7301587301587302,2871
29716,4.0,18
29732,5.0,26
30100,3.0,3
30101,4.0,23
30966,3.65,76
32258,2.0,4
35715,2.5,3
39307,4.0,5
41076,3.5,59
43336,1.5,3
43714,1.5,4
44001,3.412087912087912,1000
44011,3.656716417910448,3027
44012,3.566666666666667,1535
44017,3.547169811320755,1840
44021,3.9375,325
44022,3.8714285714285714,2211
44023,3.813953488372093,852
44024,3.4782608695652173,656
44026,3.7017543859649122,902
44028,3.5681818181818183,142
44035,3.348901098901099,1614
44036,4.5,7
44038,1.0,3
44039,3.5760869565217392,909
44040,4.071428571428571,153
44044,3.8076923076923075,146
44045,3.25,214
44046,3.75,8
44050,3.888888888888889,52
44052,3.671875,315
44053,3.1666666666666665,378
44054,3.5625,302
44055,3.6818181818181817,76
44056,3.2865168539325844,1173
44060,3.4468822170900695,5440
44062,3.5,282
44065,3.75,183
44067,3.6117021276595747,1193
44070,3.35195530726257,5363
44072,4.5,27
44077,3.540983606557377,1454
44087,3.487603305785124,1769
44092,3.6144578313253013,853
44094,3.5921052631578947,3791
44095,3.457627118644068,1225
44096,3.25,61
44101,3.75,74
44102,3.730769230769231,5959
44103,3.456896551724138,961
44104,3.0,47
44105,3.5588235294117645,223
44106,3.5795454545454546,9187
44107,3.791748526522593,15045
44108,4.295454545454546,284
44109,3.732484076433121,2585
44110,3.8375,700
44111,3.533980582524272,3270
44112,3.261904761904762,96
44113,3.8054545454545456,29115
44114,3.684848484848485,12046
44115,3.6336206896551726,11706
44116,3.7131147540983607,5599
44117,3.125,99
44118,3.6193548387096772,8987
44119,3.872340425531915,666
44120,3.594059405940594,2195
44121,3.503623188405797,1303
44122,3.4814356435643563,8986
44123,3.1818181818181817,510
44124,3.451570680628272,6069
44125,3.373684210526316,1443
44126,3.6944444444444446,2079
44127,3.5,39
44128,3.358695652173913,1024
44129,3.351931330472103,3263
44130,3.3836206896551726,4820
44131,3.4427710843373496,4074
44132,3.4107142857142856,193
44133,3.611940298507463,1339
44134,3.56353591160221,2208
44135,3.290909090909091,3320
44136,3.498371335504886,5088
44137,3.269230769230769,195
44138,3.727272727272727,796
44139,3.5392670157068062,3251
44140,3.875,484
44141,3.584507042253521,1096
44142,3.147887323943662,796
44143,3.4573643410852712,2022
44144,3.1856060606060606,1850
44145,3.505730659025788,6879
44146,3.2962962962962963,1202
44147,3.573394495412844,1439
44149,3.485294117647059,321
44178,3.7142857142857144,560
44195,3.1,133
44199,2.5,3
44202,3.3978494623655915,1439
44210,3.9,76
44211,3.5,13
44212,3.451923076923077,1589
44221,3.5552486187845305,2638
44222,3.0,10
44223,3.4274193548387095,2208
44224,3.4309523809523808,2820
44233,3.775,131
44234,4.25,25
44236,3.661111111111111,2990
44237,5.0,4
44240,3.492094861660079,4156
44241,3.391472868217054,1533
44242,4.0,33
44253,4.25,15
44255,3.2,83
44256,3.5481099656357387,3636
44258,1.0,3
44262,3.9705882352941178,199
44264,3.9423076923076925,592
44278,3.3852459016393444,651
44280,4.15,187
44286,3.4,536
44308,4.0,4
44313,3.75,89
44319,2.5,6
44320,2.5,3
44321,2.896551724137931,336
44333,3.5,2238
44334,5.0,9
45069,4.5,60
45612,3.857142857142857,42
46501,3.3333333333333335,25
48161,2.0,4
49808,4.0,5
53175,4.0,16
53176,5.0,3
53213,5.0,8
53419,2.0,5
53508,3.911764705882353,232
53515,3.9375,84
53517,5.0,4
53518,4.5,7
53521,4.0,31
